,Order ID,Date,Customer Type,Product Category,Product Name,Quantity Sold,Unit Price,Total Sales,Region,Payment Method,Customer Age,Discount,Shipping Cost,Delivery Time (Days)
52,1069,2024-01-20,New,Electronics,Electronics Product 1069,2,685.4,1052,North America,Credit Card,20,2,15.94,6
53,886,2024-01-17,Returning,Home Appliances,Home Appliances Product 886,1,1058.4,939,Europe,Credit Card,52,4,11.94,2
54,1534,2024-01-05,New,Clothing,Clothing Product 1534,3,469.8,993,Europe,PayPal,47,15,13.88,2
55,492,2024-01-13,Returning,Home Appliances,Home Appliances Product 492,5,981.7,4190,Asia,PayPal,27,2,14.37,5
56,633,2024-01-04,New,Home Appliances,Home Appliances Product 633,5,689.7,2585,Asia,Credit Card,22,16,17.27,7
57,382,2024-01-23,New,Electronics,Electronics Product 382,3,710.0,2001,Asia,Credit Card,21,11,4.3,3
58,1560,2024-01-01,Returning,Home Appliances,Home Appliances Product 1560,4,739.3,2716,Europe,Credit Card,34,6,6.03,7
59,1006,2024-01-17,New,Home Appliances,Home Appliances Product 1006,4,811.4,2668,Asia,PayPal,27,14,14.44,6
60,1229,2024-01-30,Returning,Clothing,Clothing Product 1229,4,262.7,260,North America,Credit Card,44,8,19.77,3
61,1864,2024-01-05,New,Home Appliances,Home Appliances Product 1864,2,517.0,738,Europe,PayPal,32,10,14.8,3
62,141,2024-01-22,New,Clothing,Clothing Product 141,5,1037.7,4955,North America,PayPal,26,17,4.67,6
63,774,2024-01-25,Returning,Clothing,Clothing Product 774,4,276.7,816,Asia,PayPal,35,7,7.27,4
64,329,2024-01-30,New,Electronics,Electronics Product 329,5,564.5,2255,Asia,Credit Card,57,1,11.35,7
65,1171,2024-01-02,New,Electronics,Electronics Product 1171,5,241.6,860,Europe,Credit Card,34,6,6.96,2
66,370,2024-01-11,Returning,Home Appliances,Home Appliances Product 370,4,644.6,2192,Asia,Credit Card,26,10,9.66,4
67,983,2024-01-24,New,Clothing,Clothing Product 983,3,567.8,1434,North America,Credit Card,31,7,8.98,4
68,1990,2024-01-11,Returning,Clothing,Clothing Product 1990,3,502.9,1344,Asia,Credit Card,46,8,5.49,4
69,10,2024-01-11,New,Electronics,Electronics Product 10,5,1027.2,4185,Asia,Credit Card,54,15,19.02,2
70,305,2024-01-06,New,Clothing,Clothing Product 305,3,925.0,2403,North America,Credit Card,46,16,12.4,7
71,450,2024-01-01,New,Electronics,Electronics Product 450,1,1117.9,979,Europe,Credit Card,27,9,13.89,7
72,508,2024-01-29,New,Clothing,Clothing Product 508,2,1148.4,1946,Asia,Credit Card,41,10,17.54,5
73,1455,2024-01-16,New,Electronics,Electronics Product 1455,4,470.0,1404,Asia,Credit Card,43,5,11.9,4
74,206,2024-01-27,Returning,Clothing,Clothing Product 206,3,411.1,702,Europe,Credit Card,42,6,17.71,2
75,59,2024-01-30,New,Clothing,Clothing Product 59,1,1011.9,883,Asia,PayPal,53,15,12.89,4
76,1973,2024-01-24,New,Home Appliances,Home Appliances Product 1973,4,779.9,2864,Asia,Credit Card,20,20,6.39,5
77,1294,2024-01-05,Returning,Home Appliances,Home Appliances Product 1294,5,860.0,3405,Europe,PayPal,57,0,17.9,2
78,260,2024-01-21,New,Clothing,Clothing Product 260,4,182.6,108,Asia,PayPal,30,19,15.56,6
79,218,2024-01-09,Returning,Home Appliances,Home Appliances Product 218,3,823.9,2268,Europe,Credit Card,42,9,6.79,6
80,84,2024-01-25,Returning,Electronics,Electronics Product 84,5,571.0,2095,Europe,Credit Card,50,4,15.2,7
81,1522,2024-01-23,Returning,Home Appliances,Home Appliances Product 1522,5,583.1,1980,North America,Credit Card,37,3,18.71,5
82,1512,2024-01-13,Returning,Electronics,Electronics Product 1512,4,137.3,304,North America,PayPal,44,2,6.13,6
83,692,2024-01-03,New,Home Appliances,Home Appliances Product 692,4,806.4,2820,Europe,PayPal,23,16,10.14,2
84,543,2024-01-04,Returning,Electronics,Electronics Product 543,3,720.3,1824,Asia,Credit Card,56,8,11.23,5
85,482,2024-01-03,Returning,Home Appliances,Home Appliances Product 482,2,717.1,1158,Europe,Credit Card,51,0,13.81,5
86,71,2024-01-12,Returning,Clothing,Clothing Product 71,1,811.9,696,Europe,PayPal,46,3,11.59,4
87,1420,2024-01-11,Returning,Home Appliances,Home Appliances Product 1420,4,803.0,2544,Europe,Credit Card,52,10,16.7,2
88,110,2024-01-21,New,Home Appliances,Home Appliances Product 110,1,346.5,181,Asia,PayPal,50,12,16.55,5
89,1413,2024-01-04,New,Clothing,Clothing Product 1413,3,483.6,1140,Europe,Credit Card,39,18,10.36,6
90,75,2024-01-16,New,Electronics,Electronics Product 75,2,678.3,1124,Europe,PayPal,38,19,11.63,3
91,1487,2024-01-18,Returning,Home Appliances,Home Appliances Product 1487,1,380.1,211,Asia,PayPal,21,6,16.91,2
92,288,2024-01-19,Returning,Home Appliances,Home Appliances Product 288,5,661.3,2350,Europe,Credit Card,39,1,19.13,4
93,254,2024-01-15,Returning,Home Appliances,Home Appliances Product 254,3,908.4,2490,North America,Credit Card,28,7,7.84,5
94,1479,2024-01-10,Returning,Clothing,Clothing Product 1479,1,875.8,695,Europe,Credit Card,49,7,18.08,2
95,63,2024-01-04,New,Home Appliances,Home Appliances Product 63,2,265.2,310,Europe,Credit Card,24,13,11.02,7
96,719,2024-01-30,New,Clothing,Clothing Product 719,3,352.1,492,Asia,PayPal,35,15,18.81,3
97,729,2024-01-10,New,Electronics,Electronics Product 729,3,478.8,1290,Asia,PayPal,29,11,4.88,4
98,497,2024-01-18,Returning,Home Appliances,Home Appliances Product 497,1,574.2,460,Europe,Credit Card,35,0,11.42,6
99,1878,2024-01-19,Returning,Electronics,Electronics Product 1878,2,1093.5,1892,Asia,PayPal,36,4,14.75,2
100,1423,2024-01-14,Returning,Home Appliances,Home Appliances Product 1423,2,225.20000000000002,136,Asia,Credit Card,40,4,15.72,5
101,1913,2024-01-24,New,Clothing,Clothing Product 1913,3,894.1,2541,North America,Credit Card,46,18,4.71,6
102,1031,2024-01-12,New,Home Appliances,Home Appliances Product 1031,5,889.2,3595,Europe,PayPal,20,15,17.02,7
103,325,2024-01-26,Returning,Home Appliances,Home Appliances Product 325,1,841.6,770,Europe,PayPal,40,2,7.16,3
104,689,2024-01-30,Returning,Electronics,Electronics Product 689,3,114.0,165,Europe,Credit Card,27,0,5.9,4
105,1621,2024-01-02,Returning,Clothing,Clothing Product 1621,5,484.5,1755,Asia,PayPal,54,4,13.35,7
106,249,2024-01-10,Returning,Home Appliances,Home Appliances Product 249,3,206.8,102,North America,Credit Card,38,3,17.28,3
107,848,2024-01-09,New,Clothing,Clothing Product 848,1,1005.6,940,North America,Credit Card,45,14,6.56,3
108,165,2024-01-16,New,Home Appliances,Home Appliances Product 165,1,952.8,863,Asia,Credit Card,42,10,8.98,6
109,314,2024-01-15,New,Home Appliances,Home Appliances Product 314,2,305.2,312,Asia,Credit Card,47,1,14.92,2
110,1474,2024-01-05,Returning,Home Appliances,Home Appliances Product 1474,5,198.4,385,Europe,Credit Card,31,1,12.14,5
111,1534,2024-01-05,New,Clothing,Clothing Product 1534,3,469.8,993,Europe,PayPal,47,15,13.88,2
112,2091,2024-01-13,Returning,Electronics,Electronics Product 1392,4,757.3,2372,,Credit Card,59,2,16.43,7
113,87,2024-01-28,New,Electronics,Electronics Product 87,2,531.7,938,Europe,Credit Card,40,9,6.27,5
114,1508,2024-01-09,New,Clothing,Clothing Product 1508,5,433.5,1820,Asia,Credit Card,56,19,6.95,7
115,1553,2024-01-24,Returning,Electronics,Electronics Product 1553,2,705.0,1032,Asia,PayPal,37,3,18.9,3
116,1235,2024-01-06,New,Clothing,Clothing Product 1235,1,501.3,424,Asia,PayPal,27,11,7.73,2
117,1773,2024-01-04,New,Clothing,Clothing Product 1773,3,243.10000000000002,243,North America,PayPal,43,15,16.21,6
118,1214,2024-01-15,Returning,Clothing,Clothing Product 1214,1,1099.8,970,Asia,PayPal,46,7,12.98,7
119,377,2024-01-18,Returning,Home Appliances,Home Appliances Product 377,4,350.8,820,Asia,Credit Card,34,5,14.58,7
120,1537,2024-01-08,New,Clothing,Clothing Product 1537,1,1012.2,920,North America,PayPal,51,5,9.22,2
121,703,2024-01-14,Returning,Electronics,Electronics Product 703,1,413.1,313,Europe,Credit Card,51,4,10.01,3
122,84,2024-01-25,Returning,Electronics,Electronics Product 84,5,571.0,2095,Europe,Credit Card,50,4,15.2,7
123,894,2024-01-25,Returning,Clothing,Clothing Product 894,3,268.0,459,Asia,Credit Card,21,9,11.5,5
124,487,2024-01-08,Returning,Electronics,Electronics Product 487,3,423.3,924,Europe,PayPal,48,1,11.53,3
125,2032,2024-01-05,Returning,Clothing,Clothing Product 304,1,992.0,863,,Credit Card,26,10,12.9,6
126,1951,2024-01-02,New,Electronics,Electronics Product 1951,4,932.8,3460,Asia,Credit Card,58,9,6.78,2
127,317,2024-01-18,Returning,Home Appliances,Home Appliances Product 317,4,477.1,1648,Europe,Credit Card,26,4,6.51,7
128,1631,2024-01-12,Returning,Clothing,Clothing Product 1631,4,811.3,2856,North America,PayPal,27,9,9.73,4
129,1861,2024-01-02,Returning,Home Appliances,Home Appliances Product 1861,5,953.0,4450,Asia,PayPal,35,4,6.3,2
130,1234,2024-01-05,Returning,Home Appliances,Home Appliances Product 1234,2,387.1,562,North America,Credit Card,22,4,10.61,6
131,1922,2024-01-03,New,Home Appliances,Home Appliances Product 1922,2,875.7,1454,Asia,PayPal,36,12,14.87,6
132,1942,2024-01-23,Returning,Clothing,Clothing Product 1942,1,435.6,329,Asia,PayPal,58,5,10.66,5
133,338,2024-01-09,New,Home Appliances,Home Appliances Product 338,5,428.3,1385,North America,Credit Card,31,4,15.13,2
134,2098,2024-01-09,Returning,Home Appliances,Home Appliances Product 998,1,1082.3,970,,Credit Card,41,1,11.23,3
135,852,2024-01-13,New,Home Appliances,Home Appliances Product 852,2,722.5,1262,Europe,Credit Card,39,15,9.15,5
136,1977,2024-01-28,Returning,Clothing,Clothing Product 1977,4,569.3,1696,North America,Credit Card,35,6,14.53,6
137,1004,2024-01-15,Returning,Clothing,Clothing Product 1004,4,556.9,1908,North America,PayPal,52,3,7.99,3
138,600,2024-01-01,New,Clothing,Clothing Product 600,5,831.9,3240,North America,Credit Card,23,18,18.39,3
139,652,2024-01-23,New,Home Appliances,Home Appliances Product 652,5,581.0,2235,Europe,PayPal,45,14,13.4,7
140,1756,2024-01-17,New,Home Appliances,Home Appliances Product 1756,2,1071.3,1932,Asia,Credit Card,23,6,10.53,4
141,964,2024-01-05,Returning,Clothing,Clothing Product 964,3,667.2,1563,Europe,PayPal,35,2,14.62,5
142,917,2024-01-18,Returning,Home Appliances,Home Appliances Product 917,4,480.5,1756,Asia,Credit Card,32,8,4.15,4
143,799,2024-01-20,New,Electronics,Electronics Product 799,5,618.5,2305,Europe,PayPal,54,14,15.75,7
144,53,2024-01-24,Returning,Home Appliances,Home Appliances Product 53,3,815.3,1920,Asia,Credit Card,60,8,17.53,4
145,114,2024-01-25,New,Electronics,Electronics Product 114,4,978.2,3556,Asia,Credit Card,26,9,8.92,2
146,1567,2024-01-08,New,Clothing,Clothing Product 1567,3,255.7,456,North America,PayPal,35,0,10.37,3
147,821,2024-01-12,New,Clothing,Clothing Product 821,2,872.9,1410,Europe,PayPal,60,10,16.79,6
148,1543,2024-01-14,Returning,Electronics,Electronics Product 1543,4,1171.5,3948,Europe,PayPal,39,8,18.45,6
149,949,2024-01-20,Returning,Electronics,Electronics Product 949,2,912.9,1444,Europe,Credit Card,40,7,19.09,2
150,483,2024-01-04,New,Electronics,Electronics Product 483,5,979.3,4585,Asia,Credit Card,56,2,6.23,4
151,1024,2024-01-05,New,Home Appliances,Home Appliances Product 1024,2,310.9,328,North America,Credit Card,46,3,14.69,4
152,1278,2024-01-19,Returning,Electronics,Electronics Product 1278,5,939.7,4155,North America,PayPal,23,9,10.87,5
153,516,2024-01-07,New,Home Appliances,Home Appliances Product 516,3,183.8,399,Europe,Credit Card,27,0,5.08,5
154,1133,2024-01-24,New,Electronics,Electronics Product 1133,5,229.5,735,Europe,PayPal,57,9,8.25,7
155,1995,2024-01-16,New,Home Appliances,Home Appliances Product 1995,5,431.6,1390,Asia,PayPal,43,6,15.36,6
156,183,2024-01-04,New,Electronics,Electronics Product 183,1,860.6,756,North America,PayPal,42,17,10.46,5
157,1855,2024-01-26,Returning,Electronics,Electronics Product 1855,4,668.2,1924,Europe,Credit Card,25,3,18.72,4
158,1600,2024-01-11,New,Electronics,Electronics Product 1600,5,618.5,2800,North America,Credit Card,22,20,5.85,3
159,1664,2024-01-15,Returning,Clothing,Clothing Product 1664,5,373.3,1665,Asia,Credit Card,47,7,4.03,6
160,1084,2024-01-05,Returning,Clothing,Clothing Product 1084,2,132.4,72,Asia,PayPal,35,9,9.64,3
161,1835,2024-01-06,New,Clothing,Clothing Product 1835,3,457.1,1101,North America,PayPal,39,14,9.01,6
162,1042,2024-01-23,New,Clothing,Clothing Product 1042,5,202.3,110,Europe,Credit Card,40,16,18.03,3
163,1157,2024-01-18,New,Electronics,Electronics Product 1157,2,709.5,1186,North America,Credit Card,37,6,11.65,4
164,2080,2024-01-02,New,Home Appliances,Home Appliances Product 1441,4,477.1,1276,,PayPal,44,2,15.81,6
165,1520,2024-01-21,Returning,Home Appliances,Home Appliances Product 1520,3,135.4,129,North America,Credit Card,44,10,9.24,7
166,649,2024-01-20,Returning,Clothing,Clothing Product 649,3,646.8,1755,Asia,PayPal,40,9,6.18,5
167,1054,2024-01-05,New,Home Appliances,Home Appliances Product 1054,2,936.8,1564,North America,PayPal,30,16,15.48,2
168,1333,2024-01-14,Returning,Electronics,Electronics Product 1333,5,606.2,2680,Asia,Credit Card,28,10,7.02,6
169,748,2024-01-29,Returning,Electronics,Electronics Product 748,2,277.6,460,Asia,PayPal,50,10,4.76,3
170,295,2024-01-26,New,Home Appliances,Home Appliances Product 295,1,980.2,869,Europe,PayPal,52,6,11.12,7
171,1742,2024-01-03,New,Home Appliances,Home Appliances Product 1742,3,616.6,1611,Europe,Credit Card,48,5,7.96,4
172,1360,2024-01-11,Returning,Home Appliances,Home Appliances Product 1360,2,669.1,1014,Asia,PayPal,38,6,16.21,4
173,1363,2024-01-14,Returning,Clothing,Clothing Product 1363,4,576.8,2004,Europe,Credit Card,32,7,7.58,2
174,81,2024-01-22,New,Clothing,Clothing Product 81,2,1152.2,1908,Europe,PayPal,53,1,19.82,7
175,981,2024-01-22,Returning,Clothing,Clothing Product 981,5,121.0,370,Europe,PayPal,56,6,4.7,2
176,1916,2024-01-27,Returning,Home Appliances,Home Appliances Product 1916,4,848.8,2724,Europe,PayPal,23,8,16.78,2
177,1106,2024-01-27,Returning,Clothing,Clothing Product 1106,2,380.2,416,Europe,Credit Card,27,6,17.22,2
178,1896,2024-01-07,Returning,Clothing,Clothing Product 1896,1,820.2,690,Europe,Credit Card,27,0,13.02,3
179,1841,2024-01-12,New,Electronics,Electronics Product 1841,2,629.6,1118,Europe,PayPal,33,9,7.06,5
180,907,2024-01-08,Returning,Home Appliances,Home Appliances Product 907,5,689.7,2845,North America,PayPal,46,4,12.07,2
181,1843,2024-01-14,Returning,Clothing,Clothing Product 1843,3,1099.8,2706,North America,PayPal,23,7,19.78,7
182,433,2024-01-14,New,Home Appliances,Home Appliances Product 433,1,687.5,514,North America,Credit Card,51,13,17.35,7
183,1664,2024-01-15,Returning,Clothing,Clothing Product 1664,5,373.3,1665,Asia,Credit Card,47,7,4.03,6
184,72,2024-01-13,Returning,Home Appliances,Home Appliances Product 72,2,783.3,1466,Asia,Credit Card,24,0,5.03,2
185,931,2024-01-02,Returning,Home Appliances,Home Appliances Product 931,1,1032.7,963,Asia,PayPal,38,5,6.97,7
186,1224,2024-01-25,New,Electronics,Electronics Product 1224,2,561.3,1036,Europe,PayPal,50,3,4.33,7
187,1868,2024-01-09,New,Electronics,Electronics Product 1868,2,939.4,1516,North America,PayPal,25,3,18.14,2
188,92,2024-01-03,New,Home Appliances,Home Appliances Product 92,2,1044.4,1740,Asia,Credit Card,57,12,17.44,2
189,1257,2024-01-28,Returning,Electronics,Electronics Product 1257,3,704.2,1677,North America,PayPal,29,7,14.52,5
190,666,2024-01-07,Returning,Home Appliances,Home Appliances Product 666,2,1077.6,1882,Asia,Credit Card,47,1,13.66,3
191,922,2024-01-23,Returning,Electronics,Electronics Product 922,1,418.0,372,Asia,Credit Card,38,6,4.6,4
192,915,2024-01-16,New,Home Appliances,Home Appliances Product 915,4,584.3,2132,Europe,Credit Card,22,11,5.13,7
193,891,2024-01-22,New,Clothing,Clothing Product 891,3,377.8,615,Asia,Credit Card,54,20,17.28,6
194,35,2024-01-06,New,Clothing,Clothing Product 35,3,605.0,1281,Europe,PayPal,55,2,17.8,7
195,1892,2024-01-03,Returning,Electronics,Electronics Product 1892,4,980.1,3308,North America,Credit Card,33,7,15.31,3
196,626,2024-01-27,New,Home Appliances,Home Appliances Product 626,4,501.0,1328,Europe,PayPal,52,18,16.9,4
197,1316,2024-01-27,Returning,Clothing,Clothing Product 1316,2,362.0,586,North America,Credit Card,40,5,6.9,2
198,945,2024-01-16,Returning,Home Appliances,Home Appliances Product 945,2,652.2,1190,Asia,Credit Card,53,1,5.72,5
199,1849,2024-01-20,Returning,Home Appliances,Home Appliances Product 1849,4,350.9,744,Asia,PayPal,43,0,16.49,4
200,717,2024-01-28,New,Home Appliances,Home Appliances Product 717,2,506.4,932,North America,Credit Card,57,12,4.04,4
201,502,2024-01-23,New,Clothing,Clothing Product 502,5,735.2,3150,Europe,Credit Card,55,15,10.52,2
202,292,2024-01-23,New,Home Appliances,Home Appliances Product 292,3,204.5,174,Europe,Credit Card,28,1,14.65,5
203,1176,2024-01-07,Returning,Home Appliances,Home Appliances Product 1176,1,558.5,417,Europe,PayPal,59,4,14.15,3
204,64,2024-01-05,New,Home Appliances,Home Appliances Product 64,5,720.9,3180,Europe,Credit Card,34,8,8.49,6
205,584,2024-01-15,Returning,Clothing,Clothing Product 584,3,158.1,351,North America,Credit Card,41,3,4.11,6
206,1250,2024-01-21,Returning,Home Appliances,Home Appliances Product 1250,3,683.4,1533,North America,Credit Card,42,10,17.24,7
207,1547,2024-01-18,New,Home Appliances,Home Appliances Product 1547,4,913.6,3204,North America,Credit Card,28,18,11.26,5
208,251,2024-01-12,Returning,Electronics,Electronics Product 251,2,1081.4,1936,Europe,Credit Card,23,7,11.34,4
209,565,2024-01-26,New,Electronics,Electronics Product 565,3,891.0,2232,Europe,Credit Card,43,2,14.7,2
210,987,2024-01-28,New,Clothing,Clothing Product 987,3,716.5,1701,Asia,Credit Card,36,16,14.95,2
211,726,2024-01-07,New,Clothing,Clothing Product 726,2,470.0,652,North America,Credit Card,32,13,14.4,2
212,776,2024-01-27,Returning,Clothing,Clothing Product 776,2,707.4,1210,North America,PayPal,56,4,10.24,6
213,965,2024-01-06,Returning,Home Appliances,Home Appliances Product 965,3,824.5,2118,Asia,Credit Card,43,2,11.85,7
214,1220,2024-01-21,New,Electronics,Electronics Product 1220,4,1087.7,3620,Asia,PayPal,55,5,18.27,7
215,1774,2024-01-05,Returning,Home Appliances,Home Appliances Product 1774,3,823.4,2283,Asia,Credit Card,44,10,6.24,3
216,1321,2024-01-02,Returning,Electronics,Electronics Product 1321,2,260.0,302,Europe,Credit Card,54,1,10.9,7
217,1427,2024-01-18,New,Clothing,Clothing Product 1427,5,847.8,3775,Europe,PayPal,57,4,9.28,5
218,778,2024-01-29,New,Clothing,Clothing Product 778,3,866.6,2217,Europe,PayPal,44,17,12.76,5
219,1124,2024-01-15,Returning,Clothing,Clothing Product 1124,4,291.5,776,Asia,Credit Card,24,1,9.75,6
220,473,2024-01-24,New,Home Appliances,Home Appliances Product 473,2,1082.9,1904,Europe,PayPal,22,8,13.09,4
221,60,2024-01-01,New,Home Appliances,Home Appliances Product 60,2,236.5,268,North America,PayPal,57,12,10.25,4
222,809,2024-01-30,New,Electronics,Electronics Product 809,5,514.7,1770,North America,PayPal,43,9,16.07,3
223,155,2024-01-06,Returning,Clothing,Clothing Product 155,3,738.0,1632,Asia,Credit Card,53,10,19.4,3
224,158,2024-01-09,New,Home Appliances,Home Appliances Product 158,4,813.0,2692,Europe,PayPal,39,6,14.0,6
225,823,2024-01-14,Returning,Electronics,Electronics Product 823,1,332.2,260,North America,PayPal,45,7,7.22,7
226,1826,2024-01-27,Returning,Electronics,Electronics Product 1826,3,879.2,2151,Europe,Credit Card,29,9,16.22,6
227,463,2024-01-14,New,Clothing,Clothing Product 463,3,220.0,399,Asia,PayPal,43,5,8.7,2
228,1195,2024-01-26,Returning,Clothing,Clothing Product 1195,5,715.5,2940,Asia,Credit Card,27,0,12.75,6
229,523,2024-01-14,Returning,Clothing,Clothing Product 523,2,414.7,474,Europe,Credit Card,45,7,17.77,7
230,867,2024-01-28,New,Home Appliances,Home Appliances Product 867,4,856.4,3248,North America,PayPal,29,17,4.44,5
231,398,2024-01-09,New,Electronics,Electronics Product 398,5,1056.9,4975,Asia,PayPal,27,17,6.19,7
232,1252,2024-01-23,Returning,Home Appliances,Home Appliances Product 1252,1,512.1,344,Asia,Credit Card,42,3,16.81,6
233,1745,2024-01-06,New,Home Appliances,Home Appliances Product 1745,3,1140.5,2925,North America,Credit Card,56,9,16.55,3
234,972,2024-01-13,New,Home Appliances,Home Appliances Product 972,4,1045.0,3668,Asia,Credit Card,55,15,12.8,5
235,2022,2024-01-18,Returning,Clothing,Clothing Product 707,3,790.0,2094,,PayPal,38,9,9.2,3
